id,price,nb_bedrooms,indoor_surface,zip_code,subtype,currency,building_state,year_of_construction,energy_certificate,outdoor_terrace_exists,energy,kitchen_type,land_surface,outdoor_surface,country,province,city,parking,url,type
20812065,225000.0,1,66.0,2060,apartment,eur,,,B,False,gas,,,,Belgique,Anvers,Antwerpen,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/antwerpen/2060/20812065,apartment
20782364,349000.0,3,135.0,2660,house,eur,TO_BE_DONE_UP,1968.0,E,False,gas,installed,180.0,125.0,Belgique,Anvers,Hoboken,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/hoboken/2660/20782364,house
20812045,339000.0,2,102.0,8620,apartment,eur,,,A,True,gas,,,2.0,Belgique,Flandre Occidentale,Nieuwpoort,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/nieuwpoort/8620/20812045,apartment
20717658,299000.0,1,61.0,9000,apartment,eur,AS_NEW,2011.0,A,True,gas,installed,,,Belgique,Flandre Orientale,Gent,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent/9000/20717658,apartment
20812040,2790000.0,4,215.0,9800,house,eur,TO_BE_DONE_UP,1875.0,D,True,fueloil,,3550.0,,Belgique,Flandre Orientale,Sint-Martens-Leerne,True,https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-martens-leerne/9800/20812040,house
20577030,485000.0,2,145.0,1000,duplex,eur,GOOD,1995.0,C,True,,installed,,,Belgique,Bruxelles,Bruxelles,False,https://www.immoweb.be/fr/annonce/duplex/a-vendre/bruxelles/1000/20577030,apartment
20812046,589000.0,3,,2570,house,eur,,2025.0,,True,,hyper_equipped,186.0,,Belgique,Anvers,Duffel,False,https://www.immoweb.be/fr/annonce/maison/a-vendre/duffel/2570/20812046,house
20812687,199000.0,2,100.0,4460,ground_floor,eur,AS_NEW,2009.0,B,True,gas,usa_installed,,,Belgique,Liège,Grâce-Hollogne,True,https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/grace-hollogne/4460/20812687,apartment
20725603,190000.0,2,66.0,1070,apartment,eur,AS_NEW,1930.0,D,True,gas,hyper_equipped,,,Belgique,Bruxelles,Anderlecht,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/anderlecht/1070/20725603,apartment
20753367,180000.0,2,84.0,4020,apartment,eur,TO_BE_DONE_UP,,B,True,gas,installed,,,Belgique,Liège,Liège,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/liege/4020/20753367,apartment
20781463,199000.0,1,56.0,2640,apartment,eur,GOOD,,A,True,gas,installed,,,Belgique,Anvers,MORTSEL,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/mortsel/2640/20781463,apartment
20759910,350000.0,2,150.0,1030,ground_floor,eur,GOOD,,F,True,,hyper_equipped,,67.0,Belgique,Bruxelles,Schaerbeek,False,https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/schaerbeek/1030/20759910,apartment
20759521,295000.0,2,101.0,1180,apartment,eur,TO_BE_DONE_UP,1967.0,D,False,gas,installed,,,Belgique,Bruxelles,Uccle,True,https://www.immoweb.be/fr/annonce/appartement/a-vendre/uccle/1180/20759521,apartment
20812087,349500.0,2,113.0,2930,apartment,eur,,2005.0,B,True,,,,,Belgique,Anvers,BRASSCHAAT,False,https://www.immoweb.be/fr/annonce/appartement/a-vendre/brasschaat/2930/20812087,apartment
